1049_1,1.00
1049_2,1.00
1049_3,1.00
1049_4,1.00
1049_5,1.00
1049_6,1.00
1049_7,1.00
1049_8,1.00
1049_9,1.00
1049_10,1.00
1049_11,0.00
1049_12,1.00
1049_13,1.00
1049_14,0.00
1049_15,1.00
1049_16,1.00
1049_17,1.00
1049_18,1.00
1049_19,1.00
1049_20,1.00
1049_21,1.00
1049_22,1.00
1049_23,1.00
1049_24,1.00
1049_25,1.00
1049_26,1.00
1049_27,1.00
1049_28,0.00
1049_29,0.00
1049_30,1.00
1049_31,1.00
1049_32,1.00
1049_33,1.00
1049_34,1.00
1049_35,1.00
1049_36,1.00
1049_37,1.00
1049_38,1.00
1049_39,1.00
1049_40,1.00
1049_41,1.00
1049_42,1.00
1049_43,1.00
1049_44,1.00
1049_45,1.00
1049_46,1.00
1049_47,1.00
1049_48,1.00
1049_49,1.00
1049_50,0.00
1049_51,1.00
1049_52,1.00
1049_53,1.00
1049_54,0.00
1049_55,1.00
1049_56,1.00
1049_57,1.00
1049_58,1.00
1049_59,1.00
1049_60,1.00
1049_61,1.00
1049_62,1.00
1049_63,1.00
1049_64,1.00
1049_65,1.00
1049_66,1.00
1049_67,1.00
1049_68,1.00
1049_69,1.00
1049_70,1.00
1049_71,1.00
1049_72,1.00
1049_73,1.00
1049_74,1.00
1049_75,0.00
1049_76,1.00
1049_77,1.00
1049_78,1.00
1049_79,1.00
1049_80,1.00
1049_81,1.00
1049_82,1.00
1049_83,1.00
1049_84,1.00
1049_85,1.00
1049_86,1.00
1049_87,1.00
1049_88,1.00
1049_89,1.00
1049_90,1.00
1049_91,1.00
1049_92,1.00
1049_93,1.00
1049_94,1.00
1049_95,1.00
1049_96,0.00
1049_97,0.00
1049_98,1.00
1049_99,1.00
1049_100,1.00
1049_101,1.00
1049_102,1.00
1049_103,1.00
1049_104,0.00
1049_105,1.00
1049_106,1.00
1049_107,1.00
1049_108,0.00
1049_109,1.00
1049_110,1.00
1049_111,1.00
1049_112,1.00
1049_113,1.00
1049_114,1.00
1049_115,1.00
1049_116,1.00
1049_117,1.00
1049_118,1.00
1049_119,1.00
1049_120,1.00
1049_121,1.00
1049_122,1.00
1049_123,1.00
1049_124,1.00
1049_125,1.00
1049_126,1.00
1049_127,1.00
1049_128,1.00
1049_129,1.00
1049_130,1.00
1049_131,1.00
1049_132,1.00
1049_133,1.00
1049_134,1.00
1049_135,1.00
1049_136,1.00
1049_137,1.00
1049_138,1.00
1049_139,1.00
1049_140,1.00
1049_141,1.00
1049_142,1.00
1049_143,1.00
1049_144,1.00
1049_145,1.00
1049_146,1.00
1049_147,1.00
1049_148,0.00
1049_149,1.00
1049_150,1.00
1049_151,1.00
1049_152,1.00
1049_153,1.00
1049_154,1.00
1049_155,1.00
1049_156,1.00
1049_157,1.00
1049_158,1.00
1049_159,1.00
1049_160,1.00
1049_161,1.00
1049_162,1.00
1049_163,1.00
1049_164,1.00
1049_165,0.00
1049_166,1.00
1049_167,1.00
1049_168,1.00
1049_169,1.00
1049_170,1.00
1049_171,1.00
1049_172,1.00
1049_173,1.00
1049_174,1.00
1049_175,1.00
1049_176,1.00
1049_177,1.00
1049_178,1.00
1049_179,1.00
1049_180,1.00
1049_181,0.00
1049_182,1.00
1049_183,1.00
1049_184,1.00
1049_185,1.00
1049_186,1.00
1049_187,1.00
1049_188,1.00
1049_189,1.00
1049_190,1.00
1049_191,1.00
1049_192,1.00
1049_193,1.00
1049_194,1.00
1049_195,1.00
1049_196,1.00
1049_197,1.00
1049_198,1.00
1049_199,1.00
1049_200,1.00
